SR,BSC,Desert,Temp,SR Low BSC,SR High BSC,BSC Coverage,SR BSC,BSC Coverage 2,BSC No Zero
1.09,0,Egypt,42.8,1.09,,Low BSC,1.09,Low BSC,0.00001
1.08,0,Egypt,43.26,1.08,,Low BSC,1.08,Low BSC,0.00001
1.0989,0,Egypt,45.51,1.099,,Low BSC,1.0989,Low BSC,0.00001
1.04605,0.75,Egypt,44.16,1.046,,Low BSC,1.04605,Low BSC,0.75
1.18088,0,Egypt,45.066,1.181,,Low BSC,1.18088,Low BSC,0.00001
1.06016,0,Egypt,43.71,1.06,,Low BSC,1.06016,Low BSC,0.00001
1.02516,0.561797753,Egypt,44.61,1.025,,Low BSC,1.02516,Low BSC,0.561797753
1.068,0,Egypt,45.96,1.068,,Low BSC,1.068,Low BSC,0.00001
1.06379,0,Egypt,42.08,1.064,,Low BSC,1.06379,Low BSC,0.00001
1.076,0,Egypt,45.06,1.076,,Low BSC,1.076,Low BSC,0.00001
1.08389,0,Egypt,45.06,1.084,,Low BSC,1.08389,Low BSC,0.00001
1.048,0,Egypt,44.61,1.048,,Low BSC,1.048,Low BSC,0.00001
1.12,0,Egypt,45.07,1.12,,Low BSC,1.12,Low BSC,0.00001
1.079,0,Egypt,45.96,1.079,,Low BSC,1.079,Low BSC,0.00001
1.06028,0,Egypt,45.51,1.06,,Low BSC,1.06028,Low BSC,0.00001
1.06807,0,Egypt,44.17,1.068,,Low BSC,1.06807,Low BSC,0.00001
1.047,0.253807107,Egypt,44.2,1.047,,Low BSC,1.047,Low BSC,0.253807107
1.07197,0,Egypt,45.01,1.072,,Low BSC,1.07197,Low BSC,0.00001
1.15938,0,Egypt,45.2,1.159,,Low BSC,1.15938,Low BSC,0.00001
1.05056,0,Egypt,45.69,1.051,,Low BSC,1.05056,Low BSC,0.00001
1.12503,0,Egypt,45.51,1.125,,Low BSC,1.12503,Low BSC,0.00001
1.10453,0.172413793,Egypt,45.98,1.105,,Low BSC,1.10453,Low BSC,0.172413793
1.10044,0.702247191,Egypt,44.98,1.1,,Low BSC,1.10044,Low BSC,0.702247191
